,121,123,231,213,212,1234,1213,1232,2134,2132,1212,2313,2312,121S,123S,231S,213S,212S,1234S,1213S,1232S,2134S,2132S,1212S,2313S,2312S,12S,21S,23S
340386,1,10,14,10,6,3,4,2,3,1,0,3,1,0,1,0,2,0,0,0,0,0,0,0,0,1,2,3,7
8242,1,48,32,32,4,26,4,9,10,1,2,2,0,0,1,1,0,0,0,0,0,2,0,0,0,0,2,1,4
71654,0,7,13,22,2,7,6,7,14,3,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
62091,0,3,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245364,0,6,24,21,6,10,8,1,9,1,0,3,0,2,5,5,2,0,0,0,0,2,0,0,1,0,5,8,7
8416,1,17,30,20,6,9,0,2,8,1,2,1,0,0,1,2,2,0,0,0,1,0,0,0,0,0,0,3,8
11066,1,13,24,24,5,10,4,1,13,2,0,11,2,2,1,3,1,2,2,0,2,2,0,0,0,0,4,9,9
265673,1,12,22,21,10,7,4,4,8,0,0,5,1,0,0,4,3,0,1,0,0,1,0,0,0,1,4,3,3
7887,1,33,20,23,3,26,4,5,25,1,0,0,2,0,2,0,0,0,1,0,0,1,0,0,0,1,1,0,1
3429,1,16,18,27,4,5,2,3,17,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0
7892,1,22,13,7,1,7,2,1,7,0,0,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,4,1,1
31528,1,67,38,68,5,34,10,5,36,3,2,6,2,0,3,5,3,1,2,0,1,2,0,0,1,2,3,2,2
3350,1,34,65,64,6,13,10,6,37,5,0,5,0,0,7,7,9,0,0,0,0,3,1,0,1,0,4,15,7
14748,1,45,32,39,0,29,12,4,24,4,0,3,1,0,2,0,1,0,2,0,0,1,1,0,1,0,5,1,0
25553,1,75,62,55,12,46,24,6,33,2,0,3,5,0,6,5,4,0,4,0,2,1,0,0,0,0,9,5,1
105333,1,17,31,18,3,7,2,2,13,2,0,2,0,4,5,8,2,2,0,0,0,1,0,0,0,1,2,6,4
8125,1,63,20,60,8,30,8,3,30,2,4,6,8,2,6,3,5,0,4,0,0,3,1,0,1,0,8,3,0
8433,1,25,32,39,9,17,4,2,10,1,0,1,0,0,2,3,1,0,0,0,1,0,0,0,0,0,2,3,0
70092,1,48,17,31,4,21,10,3,18,0,0,2,2,0,1,1,3,1,0,0,0,0,0,0,0,0,1,4,1
93,1,25,44,27,13,8,8,2,5,1,2,4,2,2,2,1,3,0,0,2,0,1,1,0,0,0,2,8,2
8643,1,21,35,22,7,12,14,1,21,2,0,3,1,0,0,4,3,1,0,0,0,1,0,0,0,0,1,2,0
9623,1,12,18,6,5,4,4,1,6,3,0,0,0,0,2,0,2,0,1,0,0,1,0,0,0,0,1,0,2
9433,1,39,19,30,3,21,2,1,12,3,0,2,1,0,1,0,1,0,1,0,0,0,0,0,0,0,3,1,0
135103,1,57,11,24,3,29,10,1,20,2,4,4,1,0,1,0,0,0,3,0,0,2,0,0,0,0,0,1,2
38093,1,7,14,12,1,1,2,0,4,1,0,2,1,0,0,1,2,0,0,0,0,0,0,0,1,0,2,1,6
8032,1,35,33,45,10,13,4,2,22,1,0,3,6,0,2,1,2,0,4,0,0,1,2,0,0,0,5,3,8
77502,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8980,1,24,31,30,2,8,0,3,10,1,2,3,3,0,2,7,1,0,1,0,0,1,0,0,0,0,2,1,1
9127,0,7,8,8,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7
8944,1,40,23,32,0,19,4,3,12,1,0,2,0,0,5,1,0,0,1,0,0,1,0,0,0,0,4,1,2
3324,1,5,26,3,3,5,0,1,5,0,0,1,1,0,2,5,1,1,1,0,0,1,0,0,1,0,2,4,10
11294,1,11,16,15,4,6,2,1,10,1,0,1,1,0,0,1,2,0,0,0,0,2,0,0,0,0,2,5,3
14796,1,12,32,14,9,3,16,2,5,4,4,1,2,0,1,0,2,0,0,2,0,0,0,0,0,0,2,1,0
9419,1,25,19,23,8,8,4,4,10,3,2,4,3,0,1,0,3,0,0,0,0,3,0,0,2,1,4,5,10
8221,1,18,24,23,3,8,10,2,8,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,3,2,0
235555,1,20,29,16,4,5,2,4,7,3,4,6,0,2,3,3,2,1,0,4,0,3,0,0,0,0,3,3,1
127537,1,59,36,72,8,21,8,7,50,0,0,3,0,1,7,0,2,0,5,2,0,1,0,0,0,0,8,1,1
8186,1,31,13,14,5,12,10,3,7,1,2,1,2,0,1,0,1,0,2,0,0,0,0,0,0,0,3,1,1
240559,0,2,2,8,1,1,2,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
454,1,31,46,34,8,18,0,2,11,0,2,2,1,0,2,1,3,0,1,0,0,1,0,0,0,0,1,1,2
397168,1,25,19,13,6,9,0,3,5,0,4,4,1,0,0,5,1,0,2,0,0,0,0,0,0,0,2,0,3
8142,1,2,7,5,4,3,2,1,3,0,0,4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
8425,0,6,14,4,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15215,1,46,18,33,7,20,14,7,11,2,4,4,1,0,2,1,0,0,0,0,0,1,0,0,0,0,2,0,1
56038,1,9,26,13,6,6,0,1,5,3,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
214654,1,7,17,13,1,5,2,0,8,2,0,0,1,0,1,4,0,0,1,0,0,1,0,0,0,1,0,0,14
55979,1,67,35,29,6,26,10,4,16,4,2,2,0,0,3,0,0,0,3,0,0,0,1,0,0,0,3,3,1
303357,1,8,5,13,4,3,6,0,7,0,2,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1
11078,1,22,30,23,7,4,2,3,8,3,0,4,2,2,2,1,5,1,2,0,0,0,0,0,0,0,2,5,1
62389,1,77,67,50,15,15,10,6,19,6,8,8,5,2,2,5,0,1,2,0,1,1,1,2,0,0,6,5,2
279709,1,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8422,1,11,44,13,5,7,2,0,8,3,4,6,0,4,1,11,2,1,0,0,0,1,0,0,1,0,3,12,6
38031,1,14,13,19,3,9,0,4,7,1,2,0,0,0,1,2,2,0,0,0,0,1,0,0,0,0,2,5,8
16122,1,5,15,11,6,4,0,2,4,1,2,4,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,3,2
8471,1,19,49,39,6,13,8,2,13,1,0,7,3,2,2,6,1,2,0,0,0,2,0,0,0,0,4,10,6
15823,1,9,7,16,2,10,6,1,5,0,2,2,1,0,1,1,2,0,0,0,0,0,0,0,0,0,3,0,2
8554,1,36,9,26,2,17,4,5,8,1,2,1,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,3
16436,1,14,14,18,7,6,2,0,6,1,0,3,2,0,1,0,2,0,1,0,0,2,1,0,0,2,2,4,2
293687,1,11,19,12,1,5,2,0,2,1,0,2,0,4,1,2,3,0,1,0,0,1,0,0,0,0,2,3,0
25706,1,46,21,55,9,19,18,6,23,6,0,3,5,0,2,1,4,1,3,0,3,1,0,0,0,0,4,3,4
7944,1,31,42,43,8,7,2,1,13,3,0,7,1,2,2,1,2,0,1,0,0,1,0,0,0,0,5,7,3
7932,1,29,30,40,4,20,4,2,25,3,0,3,1,0,1,0,2,0,1,0,0,0,0,0,0,1,6,4,0
107,1,31,32,32,6,18,6,0,13,1,0,3,0,0,5,1,3,0,2,4,0,1,0,0,0,0,1,5,0
20450,0,11,8,9,1,2,0,1,4,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2
58978,1,19,17,16,2,5,0,1,7,2,0,1,1,0,2,0,0,0,0,0,0,1,1,0,0,0,2,1,1
25854,1,48,18,30,9,10,10,4,12,1,6,0,1,0,3,1,1,0,0,0,0,1,1,0,0,1,1,1,0
