,121,123,231,213,212,1234,1213,1232,2134,2132,1212,2313,2312,121S,123S,231S,213S,212S,1234S,1213S,1232S,2134S,2132S,1212S,2313S,2312S,12S,21S,23S
116,1,41,14,35,4,21,2,1,15,2,0,3,1,0,3,2,6,1,1,0,1,2,0,0,0,0,3,7,2
7929,1,37,30,36,2,12,8,4,22,3,0,2,1,0,1,2,2,0,3,2,2,1,0,0,0,0,6,1,1
15808,1,18,45,29,8,17,0,2,12,2,4,3,1,0,1,6,1,2,1,0,0,2,1,0,0,0,3,12,3
25747,1,18,37,32,6,5,2,3,12,1,0,4,4,2,2,6,4,0,0,0,0,1,0,0,1,0,1,6,9
120353,1,15,36,32,4,2,2,2,12,0,0,6,4,4,5,3,1,1,1,0,1,0,0,0,1,1,2,10,19
3351,1,18,19,25,10,16,8,1,11,4,2,7,3,0,4,3,1,1,2,0,0,2,0,0,1,1,1,5,1
377071,1,20,32,18,8,5,4,2,10,1,2,4,1,0,2,3,4,1,1,2,0,2,1,0,2,0,2,1,11
10663,1,4,13,12,3,3,0,1,4,2,0,0,1,0,1,4,2,0,1,0,1,0,0,0,0,1,0,4,3
134708,0,10,21,5,3,3,0,1,5,1,0,2,2,2,0,0,2,0,0,0,0,0,0,0,0,0,1,2,9
9277,1,54,28,32,1,26,6,6,14,1,2,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,4,1,2
9279,1,52,53,45,8,26,14,4,23,3,0,3,0,0,5,3,0,2,1,0,1,1,0,0,0,0,4,8,2
86308,1,29,13,8,0,12,8,1,6,1,2,0,0,0,2,0,1,0,0,0,1,1,0,0,0,0,0,3,0
8370,1,28,42,42,4,7,4,2,11,0,0,0,1,0,1,2,6,0,0,0,0,0,0,0,1,0,4,4,2
8358,0,7,32,18,3,4,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8351,1,39,31,31,8,22,8,6,15,2,0,4,0,0,1,1,2,1,1,0,0,0,0,0,0,0,3,11,1
9283,1,24,16,17,3,7,6,2,12,3,0,2,1,0,1,0,3,0,2,0,0,1,0,0,1,0,1,1,1
9285,1,40,59,45,12,27,6,2,26,1,6,10,4,2,2,2,2,1,1,0,1,2,0,0,0,0,2,7,1
134102,1,74,29,38,8,33,10,3,31,1,2,3,2,0,3,0,3,0,3,0,1,0,0,0,0,0,7,2,1
8726,0,14,17,18,5,12,0,2,6,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
62224,1,19,34,21,8,4,4,2,12,2,2,1,0,0,2,0,3,1,1,0,0,1,0,0,1,0,5,4,2
119951,1,38,34,38,4,22,2,7,12,3,0,1,2,0,2,1,1,0,0,0,0,1,0,0,0,0,1,1,3
8360,1,35,29,21,6,15,4,2,8,1,2,3,1,2,1,1,1,2,1,0,1,1,0,0,0,0,4,1,1
5281,1,28,28,27,7,14,8,6,14,2,0,0,0,4,1,2,3,0,1,0,0,2,0,0,1,0,2,2,0
8958,1,31,29,32,4,7,4,4,13,0,2,5,1,2,2,2,1,0,0,0,0,1,0,0,1,0,3,5,14
9414,1,19,40,19,1,3,4,2,7,0,0,3,2,6,1,3,1,3,1,0,0,0,0,0,0,1,2,5,2
9293,1,17,23,12,9,1,4,3,4,0,0,1,2,2,0,1,0,0,0,0,2,2,0,0,1,0,2,1,3
8285,1,45,24,43,7,14,6,1,10,5,0,3,3,0,2,5,0,0,1,0,1,0,1,0,0,0,3,3,1
9637,1,22,27,27,7,8,4,3,10,0,0,4,2,2,0,6,1,0,0,0,0,2,0,0,1,0,5,6,9
8530,1,12,26,22,5,8,4,0,9,1,0,4,2,0,3,3,1,0,0,0,0,0,0,0,0,0,1,6,5
434159,1,5,8,5,1,1,2,1,2,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
9739,1,16,27,38,8,9,4,1,13,2,2,7,5,2,1,3,3,0,0,0,0,0,0,0,1,0,3,7,5
134351,1,4,3,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
8686,0,5,8,4,2,3,2,0,2,1,0,1,0,0,0,0,1,3,0,0,0,0,0,0,1,0,2,1,2
8460,1,37,26,41,16,5,6,4,11,4,4,5,2,4,0,0,2,0,0,0,0,0,0,0,0,0,5,1,2
447254,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8296,1,1,2,4,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
3577,1,25,41,28,5,9,2,1,8,1,0,4,1,2,0,2,4,0,0,0,0,1,0,0,0,0,4,4,11
14688,1,25,11,14,2,12,2,1,6,1,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
25798,1,25,17,30,9,18,8,2,11,1,0,1,1,0,5,0,1,0,1,2,2,1,0,0,0,0,2,1,3
245813,1,1,13,6,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2
8627,0,15,6,12,1,8,4,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8314,1,36,32,33,8,15,10,0,20,3,0,1,7,0,3,1,1,0,0,2,0,0,0,0,0,0,4,2,1
8752,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,1,20,19,20,7,5,4,1,11,3,2,0,9,2,2,1,2,0,0,0,1,0,1,0,1,0,3,5,8
3327,1,16,14,36,3,3,2,3,2,3,0,2,0,0,0,1,3,1,0,0,0,0,0,0,0,0,1,4,12
8620,1,26,18,28,2,10,6,3,12,3,0,5,1,0,3,0,0,0,1,0,0,1,0,0,0,2,4,1,2
293686,1,12,17,13,5,5,2,1,0,0,0,1,3,2,0,3,1,0,0,0,0,2,0,0,0,1,1,1,2
25950,1,27,27,35,10,14,2,2,14,3,2,6,5,2,1,3,2,1,1,0,0,1,0,0,1,1,2,4,4
119630,1,7,7,8,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1
257899,1,36,30,25,7,13,10,4,12,2,4,4,2,0,4,2,0,0,2,0,0,1,0,0,0,0,5,1,0
222220,1,31,30,31,8,14,12,3,14,1,0,4,1,2,4,4,2,1,3,2,0,0,0,0,0,0,2,5,0
8319,1,22,37,35,1,16,4,3,12,4,0,3,2,2,8,2,4,0,0,2,0,2,1,0,0,0,5,4,4
7907,0,2,5,3,2,0,0,1,1,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,5
74,1,42,13,15,3,16,2,7,15,1,2,1,1,0,2,0,3,0,0,0,0,1,0,0,0,0,1,0,0
8623,1,35,32,41,5,14,14,3,17,1,2,6,2,0,2,2,4,0,0,0,1,2,0,0,0,0,5,2,4
286831,1,5,5,5,1,2,2,2,2,0,0,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,3
8501,1,17,22,24,3,14,6,3,6,1,0,2,3,0,1,1,3,2,0,0,1,0,0,0,0,0,2,3,0
355937,1,13,21,12,2,6,4,0,4,1,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,1,0,0
0,0,100,2,0,0,54,0,8,0,0,0,1,0,0,3,0,0,0,2,0,0,0,0,0,0,0,5,0,0
77558,1,22,21,34,9,10,2,2,6,0,0,3,1,0,4,5,2,1,2,0,0,0,0,0,1,1,3,5,6
3326,1,1,9,4,3,4,0,2,1,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0
20612,1,47,19,27,4,25,4,8,15,2,2,0,1,0,3,0,2,1,1,2,0,0,0,0,0,0,1,3,1
332605,0,11,19,15,2,4,2,0,9,1,0,1,0,0,3,1,2,0,0,0,0,0,0,0,0,0,2,1,4
230020,1,14,24,18,7,11,6,1,13,1,0,5,1,4,1,5,4,1,1,0,0,1,1,0,0,0,8,3,1
61979,0,3,1,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4365,1,31,14,27,2,9,4,2,14,1,4,1,2,0,3,0,2,0,0,0,1,0,0,0,1,0,2,1,1
179,0,2,9,7,5,1,0,0,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,2
3413,1,16,22,27,6,10,10,3,13,1,0,0,2,0,1,1,2,1,0,0,0,0,0,0,1,2,2,2,0
61967,0,11,10,20,1,10,4,1,11,2,0,0,1,0,2,0,0,0,1,2,0,1,0,0,0,0,1,1,3
8945,1,31,45,27,14,18,10,2,14,1,4,5,5,0,2,2,2,0,0,2,0,0,0,0,1,0,4,1,0
8625,1,21,33,17,6,14,8,3,3,2,0,6,1,2,4,1,2,0,2,0,0,0,0,0,0,0,3,4,4
28291,1,36,24,28,7,22,2,4,19,2,4,2,5,0,2,1,1,0,1,0,0,1,0,0,0,1,1,1,4
3360,1,13,21,14,3,4,0,2,4,3,0,1,2,2,0,2,1,0,0,0,0,1,0,0,0,0,4,6,8
135114,0,31,25,30,10,11,12,4,16,2,4,2,1,0,0,0,2,0,2,2,0,0,0,0,0,2,2,2,1
268776,1,30,27,31,8,27,6,1,11,4,0,1,2,0,2,1,1,0,0,2,1,0,0,0,0,0,1,1,1
8677,1,5,23,11,5,6,0,3,4,0,0,1,0,4,1,0,2,0,1,0,0,0,0,0,0,0,1,1,3
70965,1,17,19,27,5,5,4,2,12,2,2,2,3,0,0,5,2,0,0,0,0,1,0,0,0,0,2,2,4
29640,1,32,17,25,5,20,2,6,12,1,4,1,3,0,1,2,3,0,0,2,1,1,0,0,0,0,3,1,2
37725,0,38,17,29,7,19,8,5,16,1,0,7,3,0,0,0,1,0,0,0,0,0,2,2,0,0,5,2,0
8580,0,4,9,5,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8384,1,12,16,12,4,2,4,1,6,1,0,2,1,4,0,0,1,0,0,0,0,0,0,0,0,1,2,2,7
365707,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26136,1,9,8,6,2,2,2,0,2,0,0,1,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,2
239411,1,2,3,3,1,4,0,1,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
7989,1,28,40,33,4,14,10,4,20,4,2,5,2,4,2,4,1,1,1,0,1,4,0,0,1,1,1,4,1
14886,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8284,1,9,29,18,2,5,2,2,6,0,2,2,2,2,0,3,0,1,1,0,0,1,0,0,1,0,1,3,0
10252,1,27,26,20,6,16,2,1,10,1,2,6,1,2,4,1,1,0,1,0,0,0,0,0,0,0,7,2,3
284,1,29,25,21,1,13,6,3,14,1,0,4,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,2
7958,1,11,6,8,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7988,1,45,30,35,6,14,8,6,16,1,0,4,4,0,5,1,1,0,1,0,0,2,0,1,1,0,5,4,5
8049,1,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
77541,1,6,3,1,0,4,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7855,1,48,33,33,1,21,14,9,17,3,0,1,1,0,0,1,0,0,1,0,0,2,0,0,0,0,2,0,1
3361,1,26,41,26,6,7,6,1,5,5,0,13,0,4,3,7,2,0,1,0,0,2,0,0,1,0,5,11,3
15175,1,6,18,11,1,7,0,1,7,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0
7864,1,19,6,14,2,3,4,0,6,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1
283142,0,14,28,21,2,4,4,1,9,4,0,7,2,0,2,3,2,0,1,2,0,2,0,0,0,0,3,4,5
8498,1,17,22,24,5,5,4,1,14,1,0,1,3,0,3,2,0,0,0,0,0,2,0,0,0,0,3,2,1
7934,1,25,22,17,5,14,2,6,15,1,0,2,3,0,2,7,2,0,0,0,0,1,1,0,0,0,1,5,10
8005,1,19,8,5,3,10,0,1,3,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41174,1,32,31,43,17,13,16,4,18,0,8,6,4,0,1,5,5,1,1,0,0,0,1,0,1,0,3,6,7
128214,0,2,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
9123,1,9,15,15,2,3,0,0,7,1,0,0,1,0,1,2,1,0,0,0,0,1,0,0,0,1,1,5,14
9206,1,11,21,17,3,5,2,0,10,1,0,0,1,0,1,2,2,0,1,0,1,1,0,0,0,1,1,1,4
8925,1,27,16,18,2,10,6,1,10,4,2,0,1,2,1,1,1,0,1,0,0,0,0,0,1,0,3,2,1
240070,1,13,9,21,1,11,2,2,12,1,0,1,1,0,2,4,1,0,0,0,0,0,0,0,0,0,1,0,2
257762,1,71,15,39,2,36,12,5,27,2,4,3,1,2,7,1,3,0,2,0,1,2,0,0,0,0,0,1,1
68085,1,30,28,26,5,20,8,4,10,1,0,0,2,0,2,0,1,0,3,0,0,1,0,0,0,0,2,0,1
9622,1,1,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
70156,1,17,27,25,7,11,4,4,10,1,2,6,3,0,0,7,3,1,2,0,0,1,0,0,1,1,1,2,1
91381,1,18,12,16,4,1,2,1,6,3,2,2,2,2,2,2,2,2,0,0,0,1,0,0,1,0,3,4,12
8903,0,9,17,9,1,1,2,1,8,0,0,3,2,0,3,3,1,0,0,2,1,2,0,0,0,0,1,3,4
8374,1,2,1,5,1,3,2,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
134,1,18,11,5,1,9,4,2,5,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
346071,0,1,1,6,1,1,2,0,3,0,4,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1
25537,1,24,28,34,6,10,6,2,19,2,4,3,5,2,1,1,1,0,1,0,0,0,0,0,0,0,1,5,0
7914,1,44,16,31,2,23,14,4,11,1,0,2,0,0,1,1,1,0,1,0,0,0,0,0,0,0,3,1,0
7853,1,47,28,33,9,14,6,1,20,6,4,4,3,0,3,1,4,0,0,2,1,2,0,0,0,0,7,7,3
531655,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284476,1,6,6,4,2,2,4,1,3,0,0,0,0,0,0,3,1,0,1,0,0,0,1,0,0,0,0,1,0
22889,1,11,19,16,2,9,2,2,2,1,0,1,2,2,3,2,0,1,0,0,0,0,0,2,0,0,1,1,3
25707,1,16,42,43,11,10,6,1,14,3,2,4,3,4,5,8,6,0,2,2,0,3,0,0,1,0,12,22,7
285508,1,9,5,8,0,4,2,1,5,2,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,4,4
3662,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8889,1,41,20,20,2,14,10,3,18,2,0,2,1,0,2,0,1,0,2,0,0,0,0,0,0,0,2,0,1
65254,1,17,11,7,0,4,6,1,9,0,2,2,1,0,1,1,0,0,0,0,0,2,0,0,0,0,1,1,0
21095,1,0,7,9,0,5,0,0,0,0,6,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
3557,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
258162,1,3,10,10,5,4,4,1,6,0,0,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,2,1,1
471,0,7,4,8,2,11,0,0,3,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,1,0,0,1,2
8126,1,13,8,8,0,5,0,1,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
7970,1,3,8,10,0,4,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,3
9280,1,11,20,9,4,11,2,4,7,1,2,1,0,0,1,1,1,0,3,0,0,0,1,0,0,1,1,1,1
442211,0,4,5,2,2,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
350976,1,18,31,27,12,7,8,3,10,3,4,1,3,0,3,3,2,1,3,2,0,0,0,1,3,0,2,4,0
38377,1,15,17,13,1,5,2,1,10,0,0,1,2,0,0,2,1,0,2,0,0,0,0,0,0,0,1,2,3
8897,1,42,26,73,7,22,14,7,27,6,0,3,5,0,2,3,5,0,1,0,2,3,0,0,0,1,14,1,1
3802,1,18,35,37,7,14,2,6,18,5,0,9,1,8,2,1,8,0,5,2,0,1,1,0,0,0,3,11,8
12242,1,5,35,11,2,2,0,1,7,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
7939,1,25,40,42,9,13,0,4,16,4,4,5,3,2,1,3,1,1,1,2,0,1,1,0,1,0,4,2,0
252365,1,35,24,31,6,13,4,6,10,4,4,6,2,2,2,1,4,1,2,2,0,2,1,0,0,0,5,4,2
7967,1,32,43,30,12,11,12,6,27,1,2,4,1,0,1,3,4,0,1,0,0,4,0,2,0,0,8,6,5
25785,1,26,21,24,8,11,0,3,7,1,0,6,2,0,1,1,1,0,1,0,0,2,0,0,0,0,4,0,1
14808,1,11,22,25,3,9,2,6,17,0,0,4,3,0,2,1,3,0,2,0,0,2,0,0,0,0,3,1,2
8959,1,11,19,19,5,5,0,1,6,3,0,0,4,0,0,2,0,0,1,0,0,1,0,0,1,0,1,4,5
145692,1,2,13,4,1,2,0,0,6,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,2
286825,1,17,26,21,5,3,0,1,10,1,4,1,2,0,1,0,1,0,0,0,1,1,0,0,0,0,1,2,0
25430,1,37,14,22,1,22,8,2,12,1,2,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25865,1,2,3,5,0,3,0,1,3,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
8464,1,23,18,24,2,27,4,2,17,3,2,3,1,0,0,1,2,0,2,0,0,0,0,0,0,2,3,3,1
7957,1,6,13,5,2,2,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
3343,1,1,0,2,0,1,2,0,3,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25885,1,11,4,5,0,3,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3424,0,1,3,2,0,2,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
302518,1,27,36,50,12,20,12,6,15,3,0,3,3,0,5,2,3,1,2,0,2,2,1,0,0,0,9,4,1
3928,1,17,16,26,9,10,20,4,13,1,0,2,3,0,3,0,3,0,0,0,0,3,0,0,0,0,5,1,0
26495,1,25,36,28,5,14,4,2,6,1,0,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,3,3,0
7879,1,12,9,14,1,3,2,1,1,2,2,1,2,0,2,3,1,0,0,0,0,0,0,0,0,0,4,3,4
20855,1,15,11,20,6,4,0,2,7,1,4,2,3,0,2,1,1,0,2,0,0,0,0,0,1,0,0,1,0
8745,0,3,0,1,0,2,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7922,1,36,14,19,1,15,6,4,11,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,2
8583,1,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13745,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,1,48,25,27,8,16,8,9,25,1,0,4,0,0,1,1,0,0,4,0,2,2,0,0,0,0,1,0,2
26610,1,6,7,10,2,2,2,0,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,6
8391,0,2,8,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
212651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
261,1,0,2,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
8096,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
447812,1,8,4,3,2,6,2,1,1,0,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
8324,1,3,6,5,1,1,0,1,1,0,2,1,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,1,0
7856,0,10,1,3,1,5,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
7873,1,25,19,29,4,10,4,1,8,1,0,2,0,0,3,5,4,0,1,0,0,1,0,0,0,0,3,1,2
406682,1,6,10,8,4,5,0,1,7,0,2,2,0,0,0,1,1,0,0,2,0,1,0,0,0,0,1,1,1
71703,1,26,11,18,3,12,6,3,10,1,2,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0
8362,0,3,0,9,1,3,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61962,1,26,23,31,8,14,0,4,18,1,2,2,2,0,1,1,1,2,1,2,0,0,0,0,0,0,3,3,4
77552,1,17,17,20,12,8,8,1,10,1,0,5,2,0,0,2,1,0,0,0,0,0,0,0,0,0,2,1,1
237268,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11669,1,15,15,15,4,3,0,1,5,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,1,0,2,5,13
8495,1,6,9,5,2,5,0,1,3,2,2,2,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1
447379,1,3,1,5,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
282550,1,16,33,34,10,5,6,3,4,3,4,4,3,0,2,5,4,1,1,0,0,1,0,0,0,0,0,7,1
8981,0,6,15,9,2,4,0,1,5,1,0,3,2,0,0,2,1,0,0,0,0,1,1,0,0,0,3,3,1
7961,1,3,10,7,0,3,0,0,5,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,3,0
8761,0,1,3,3,0,1,4,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288865,1,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8292,1,7,16,14,2,3,0,0,3,0,0,2,0,0,1,1,1,0,2,0,0,1,0,2,0,0,2,4,2
8992,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8935,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
70085,0,11,6,3,0,7,0,0,5,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1
337225,0,8,5,8,1,1,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
20420,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
189821,1,16,11,16,1,10,2,0,5,0,2,3,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0
8516,1,11,16,15,0,9,4,2,10,3,2,1,1,0,0,1,0,1,0,4,0,0,0,0,0,0,2,3,0
20441,1,4,19,10,4,3,6,1,5,1,0,4,0,0,1,4,1,1,1,0,0,0,0,0,0,0,2,0,3
101652,1,5,4,2,0,3,2,1,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
8826,0,3,8,6,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
25415,0,3,4,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3582,1,4,12,2,1,1,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10108,1,17,14,12,1,12,6,2,5,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,4,1,0
8955,0,3,2,4,2,1,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2
4255,1,2,8,7,0,1,0,1,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,1,2,0
9164,1,13,20,12,0,6,4,3,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
423162,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241564,0,9,9,6,5,9,0,0,4,0,0,1,1,2,0,0,0,1,2,0,0,1,0,0,0,0,1,0,1
279717,1,11,13,13,3,5,0,2,6,1,0,1,1,0,2,0,1,0,0,0,0,1,0,0,0,1,0,2,0
8135,1,12,5,12,2,6,2,1,4,2,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,1,1
397174,0,7,7,7,1,6,2,0,5,2,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
61961,1,13,2,11,5,3,0,0,5,3,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1
8140,1,6,4,5,2,0,0,0,3,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2,1,0
415748,0,1,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13451,0,2,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
234408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9179,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
415747,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281135,1,1,2,3,2,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274488,0,1,3,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25604,0,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
171283,1,14,12,10,2,9,2,1,4,1,0,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,1
49859,1,14,3,13,0,7,4,2,9,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0
9194,1,7,10,6,2,4,0,0,1,1,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,5
8624,0,1,6,6,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
270828,0,4,1,2,1,0,0,2,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1
8290,1,12,14,18,3,5,2,0,6,1,4,2,2,2,2,0,0,0,0,0,0,0,0,0,3,0,1,4,1
132,1,21,16,12,5,9,4,1,6,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
8017,0,3,3,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
