,Player,121,123,231,213,212,1234,1213,1232,2134,2132,1212,2313,2312,121S,123S,231S,213S,212S,1234S,1213S,1232S,2134S,2132S,1212S,2313S,2312S,12S,21S,23S,Age,MP,Goals,Assists,xGp90,xAp90,ChCr,YC,RC,Tackles,Pressures,Position,Value
1308,James David Rodriguez Rubio,1,23,43,38,6,12,10,4,24,3,2,5,2,0,0,1,4,0,2,2,0,2,1,0,0,0,2,6,4,21.0,37.0,1.0,3.0,0.04,0.05,68.0,8.0,0.0,95.0,716.0,midfield - Defensive Midfield,22500000.0
1312,Amir Abrashi,1,14,9,21,1,6,2,3,4,1,0,2,2,0,1,0,1,1,2,0,0,0,0,0,0,0,2,0,0,29.0,13.0,0.0,0.0,0.05,0.02,10.0,3.0,0.0,23.0,164.0,midfield - Defensive Midfield,1800000.0
1315,Marcel Schmelzer,1,22,25,21,1,14,6,3,8,1,0,1,2,0,2,0,4,0,0,0,0,1,0,0,0,0,1,1,0,31.0,7.0,1.0,1.0,0.77,0.23,2.0,0.0,0.0,0.0,13.0,Defender - Left-Back,4500000.0
1320,Benjamin Stambouli,1,37,41,34,2,19,2,3,25,2,4,4,1,2,1,0,1,1,0,0,1,4,0,0,0,0,4,1,0,28.0,9.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,28.0,131.0,midfield - Defensive Midfield,8100000.0
1326,Jorge Mere Perez,1,40,9,20,3,17,4,5,12,2,0,0,3,0,4,1,0,0,1,0,0,0,0,0,0,0,1,0,0,21.0,22.0,1.0,2.0,0.01,0.1,36.0,8.0,0.0,58.0,295.0,Defender - Centre-Back,6300000.0
1328,Bernardo Fernandes da Silva Junior,1,30,24,10,3,10,2,5,7,2,0,4,2,0,1,0,2,0,1,0,0,0,0,0,0,0,2,1,0,22.0,35.0,6.0,4.0,0.25,0.13,59.0,0.0,0.0,28.0,303.0,midfield - Attacking Midfield,45000000.0
1333,Suat Serdar,1,20,23,28,3,8,8,3,14,2,0,1,2,0,2,3,0,1,1,0,0,0,0,0,0,0,5,5,5,22.0,20.0,7.0,0.0,0.18,0.06,33.0,2.0,0.0,64.0,413.0,midfield - Central Midfield,6750000.0
1334,Joel Pohjanpalo,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,attack - Centre-Forward,1350000.0
1335,Manuel Schmiedebach,0,2,6,2,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,30.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,58.0,midfield - Defensive Midfield,900000.0
1336,William de Asevedo Furtado,1,22,42,26,4,7,2,2,6,1,0,2,1,0,2,2,1,0,0,0,0,0,0,0,0,0,1,1,0,24.0,16.0,1.0,1.0,0.09,0.12,28.0,0.0,0.0,54.0,353.0,Defender - Centre-Back,3600000.0
