,Player,121,123,231,213,212,1234,1213,1232,2134,2132,1212,2313,2312,121S,123S,231S,213S,212S,1234S,1213S,1232S,2134S,2132S,1212S,2313S,2312S,12S,21S,23S,Age,MP,Goals,Assists,xGp90,xAp90,ChCr,YC,RC,Tackles,Pressures,Position,Value
1,Granit Xhaka,1,67,68,82,6,32,18,11,59,6,4,7,8,2,3,1,7,0,4,0,0,5,1,2,0,2,2,6,7,24.0,38.0,1.0,7.0,0.06,0.11,96.0,10.0,0.0,78.0,555.0,midfield - Defensive Midfield,36000000.0
4,Harry  Maguire,1,70,25,41,4,28,18,6,17,3,2,2,1,0,2,2,2,0,4,0,0,1,0,0,0,0,5,2,2,24.0,38.0,2.0,4.0,0.06,0.05,37.0,7.0,0.0,74.0,281.0,Defender - Centre-Back,31500000.0
5,Marc Albrighton,1,30,56,35,8,19,0,1,14,0,0,11,1,2,1,7,4,0,0,0,0,1,0,0,0,0,9,5,2,27.0,34.0,2.0,7.0,0.06,0.18,67.0,5.0,1.0,62.0,545.0,midfield - Right Midfield,9000000.0
6,Onyinye Wilfred Ndidi,1,55,39,42,8,24,10,6,29,2,2,3,4,0,4,0,2,0,2,0,4,1,0,1,1,1,5,2,2,20.0,33.0,0.0,3.0,0.05,0.02,33.0,8.0,4.0,152.0,930.0,midfield - Defensive Midfield,22500000.0
7,Christian Fuchs,1,37,32,28,10,9,6,4,6,3,0,4,3,2,4,0,2,0,1,0,0,1,0,0,0,0,3,1,1,31.0,25.0,0.0,1.0,0.02,0.03,29.0,1.0,0.0,56.0,323.0,Defender - Left-Back,4500000.0
8,Shinji Okazaki,1,10,13,17,3,5,4,2,2,1,0,1,1,0,0,1,2,0,1,0,0,0,1,0,0,0,2,5,4,31.0,27.0,6.0,2.0,0.38,0.14,30.0,2.0,0.0,24.0,389.0,attack - Centre-Forward,5400000.0
9,Wes Morgan,1,45,20,16,1,22,2,8,7,2,0,3,1,0,1,1,0,0,4,0,0,1,0,0,0,0,0,1,2,33.0,32.0,0.0,0.0,0.04,0.01,7.0,4.0,0.0,36.0,234.0,Defender - Centre-Back,2700000.0
10,Riyad Mahrez,1,31,42,51,9,20,14,4,17,2,0,6,1,0,5,3,4,1,2,0,2,1,0,0,2,0,2,15,9,26.0,36.0,12.0,10.0,0.18,0.25,118.0,2.0,0.0,41.0,512.0,attack - Right Winger,45000000.0
11,Matty James,1,14,13,16,4,5,2,1,8,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,2,26.0,13.0,0.0,0.0,0.11,0.01,7.0,2.0,0.0,20.0,198.0,midfield - Central Midfield,1350000.0
12,Mohamed Naser Elsayed Elneny,1,21,9,15,3,6,6,2,6,2,0,0,1,0,1,0,2,2,1,0,0,0,0,0,0,0,0,2,1,25.0,13.0,0.0,1.0,0.05,0.11,23.0,3.0,1.0,13.0,150.0,midfield - Defensive Midfield,9000000.0
13,Alex Oxlade-Chamberlain,0,24,26,26,7,10,2,2,7,3,4,1,1,0,2,5,4,0,0,2,0,0,0,0,0,0,6,4,5,23.0,32.0,3.0,7.0,0.15,0.25,70.0,3.0,0.0,36.0,336.0,midfield - Central Midfield,36000000.0
14,Danny Simpson,1,37,36,30,3,13,6,2,9,1,0,3,1,0,0,0,2,0,2,0,0,2,0,0,0,0,1,0,1,30.0,28.0,0.0,0.0,0.02,0.01,14.0,4.0,0.0,44.0,256.0,midfield - Attacking Midfield,675000.0
16,Jamie Vardy,1,11,39,14,3,2,0,1,4,0,0,3,2,0,0,8,0,0,0,0,0,1,1,0,0,1,2,5,13,30.0,37.0,20.0,1.0,0.49,0.08,60.0,3.0,0.0,21.0,513.0,attack - Centre-Forward,18000000.0
17,Rob Holding,1,24,7,18,0,7,2,5,6,2,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,21.0,12.0,0.0,0.0,0.03,0.01,4.0,3.0,0.0,17.0,102.0,Defender - Centre-Back,6300000.0
19,Kasper Schmeichel,1,8,22,15,4,3,0,3,8,2,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,1,0,30.0,33.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,Goalkeeper,10800000.0
21,Alexandre Lacazette,1,7,24,20,8,2,2,0,5,1,0,3,3,2,2,3,1,0,1,0,0,0,0,0,1,1,0,4,4,26.0,32.0,14.0,4.0,0.52,0.17,85.0,1.0,0.0,30.0,491.0,attack - Centre-Forward,54000000.0
22,Aaron Ramsey,1,23,35,34,8,9,6,1,5,2,0,3,7,0,2,4,3,1,1,4,0,2,0,0,0,0,1,4,3,26.0,24.0,7.0,8.0,0.3,0.23,57.0,0.0,0.0,34.0,404.0,midfield - Central Midfield,40500000.0
23,Daniel Amartey,1,3,4,9,2,3,2,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,9.0,76.0,Defender - Centre-Back,4500000.0
24,Olivier Giroud,1,7,15,12,2,6,0,0,6,0,0,3,0,0,1,2,0,0,1,0,0,1,0,2,0,0,1,1,7,30.0,16.0,4.0,1.0,0.79,0.25,14.0,0.0,0.0,7.0,77.0,attack - Centre-Forward,16200000.0
26,Tomer Hemed,0,5,6,2,3,2,0,0,2,1,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,3,1,30.0,16.0,2.0,2.0,0.24,0.02,7.0,0.0,0.0,6.0,184.0,attack - Centre-Forward,2250000.0
27,Dale Stephens,1,61,46,56,5,19,20,5,31,9,2,1,4,2,4,3,4,0,3,6,2,1,1,0,0,0,3,2,4,28.0,36.0,0.0,3.0,0.03,0.04,37.0,6.0,0.0,100.0,806.0,midfield - Central Midfield,5400000.0
28,Solly March,1,23,30,24,8,6,2,1,20,2,2,3,4,0,0,2,1,1,2,0,0,1,0,0,1,0,1,1,6,23.0,36.0,1.0,1.0,0.07,0.08,35.0,3.0,0.0,56.0,460.0,midfield - Left Midfield,4500000.0
29,Bruno Saltor Grau,1,27,32,32,15,7,4,4,13,3,2,5,5,0,1,0,2,1,0,0,0,1,0,4,0,0,2,1,0,36.0,25.0,0.0,0.0,0.0,0.04,22.0,3.0,0.0,34.0,147.0,attack - Left Winger,540000.0
30,Kevin De Bruyne,1,32,85,50,4,20,14,3,40,4,2,11,7,4,1,4,3,0,1,0,0,1,0,0,0,1,2,19,11,26.0,37.0,8.0,16.0,0.18,0.39,196.0,2.0,0.0,66.0,578.0,midfield - Attacking Midfield,135000000.0
31,Vincent Kompany,1,41,18,17,1,10,6,6,10,0,2,1,2,0,0,0,0,0,1,2,0,2,0,0,0,0,2,0,1,31.0,17.0,1.0,1.0,0.07,0.04,11.0,6.0,0.0,21.0,93.0,Defender - Centre-Back,9000000.0
32,John Stones,1,27,11,15,0,8,10,6,4,0,0,1,0,0,3,0,0,0,2,0,0,0,0,0,0,0,1,0,1,23.0,18.0,0.0,0.0,0.08,0.0,7.0,0.0,0.0,19.0,91.0,Defender - Centre-Back,49500000.0
34,Danilo Luiz da Silva,1,24,18,15,4,9,4,4,7,1,0,5,1,0,3,0,1,0,1,0,0,3,1,0,0,0,2,0,2,26.0,23.0,3.0,2.0,0.07,0.01,29.0,2.0,0.0,45.0,155.0,Defender - Right-Back,18000000.0
35,David Josue Jimenez Silva,1,31,48,49,6,14,8,3,18,2,0,7,7,0,3,6,2,0,0,0,0,2,2,2,0,0,2,9,1,31.0,29.0,9.0,11.0,0.27,0.29,132.0,5.0,0.0,38.0,380.0,midfield - Attacking Midfield,27000000.0
37,Markus Suttner,1,12,19,13,6,7,0,1,4,3,0,1,1,2,2,0,0,0,0,0,1,2,2,0,0,0,3,0,0,32.0,21.0,0.0,1.0,0.03,0.04,33.0,3.0,0.0,28.0,214.0,Defender - Left-Back,2250000.0
39,Kyle Walker,1,42,35,40,9,23,16,8,8,8,6,3,1,0,2,2,1,1,2,0,1,3,0,0,0,0,4,5,3,27.0,32.0,0.0,6.0,0.02,0.15,53.0,3.0,2.0,53.0,319.0,Defender - Right-Back,45000000.0
42,Lewis Dunk,1,76,25,33,3,30,8,3,18,3,2,0,2,0,2,2,1,0,2,0,0,0,0,0,0,0,6,3,1,25.0,38.0,1.0,1.0,0.07,0.01,28.0,7.0,0.0,75.0,353.0,Defender - Centre-Back,9000000.0
43,Mathew Ryan,0,6,33,27,3,6,2,0,13,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,1,0,0,25.0,38.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,Goalkeeper,7200000.0
44,Gabriel Fernando de Jesus,1,10,14,10,6,3,4,2,3,1,0,3,1,0,1,0,2,0,0,0,0,0,0,0,0,1,2,3,7,23.0,29.0,5.0,2.0,0.21,0.09,58.0,6.0,1.0,86.0,768.0,midfield - Defensive Midfield,13500000.0
45,Shane Duffy,1,48,32,32,4,26,4,9,10,1,2,2,0,0,1,1,0,0,0,0,0,2,0,0,0,0,2,1,4,25.0,37.0,0.0,1.0,0.05,0.02,15.0,8.0,0.0,40.0,185.0,Defender - Centre-Back,10800000.0
46,Ederson Santana de Moraes,0,7,13,22,2,7,6,7,14,3,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,23.0,36.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,3.0,attack - Centre-Forward,3150000.0
49,Glenn Murray,1,17,30,20,6,9,0,2,8,1,2,1,0,0,1,2,2,0,0,0,1,0,0,0,0,0,0,3,8,33.0,35.0,12.0,0.0,0.47,0.04,36.0,9.0,0.0,19.0,485.0,attack - Centre-Forward,2700000.0
50,Raheem Shaquille Sterling,1,13,24,24,5,10,4,1,13,2,0,11,2,2,1,3,1,2,2,0,2,2,0,0,0,0,4,9,9,22.0,33.0,18.0,11.0,0.64,0.26,126.0,4.0,2.0,27.0,375.0,attack - Left Winger,81000000.0
51,Bernardo Mota Veiga de Carvalho e Silva,1,12,22,21,10,7,4,4,8,0,0,5,1,0,0,4,3,0,1,0,0,1,0,0,0,1,4,3,3,22.0,35.0,6.0,4.0,0.25,0.13,59.0,0.0,0.0,28.0,303.0,midfield - Attacking Midfield,45000000.0
52,Gary  Cahill,1,33,20,23,3,26,4,5,25,1,0,0,2,0,2,0,0,0,1,0,0,1,0,0,0,1,1,0,1,31.0,27.0,0.0,0.0,0.02,0.0,7.0,1.0,1.0,33.0,202.0,Defender - Centre-Back,13500000.0
53,Thibaut Courtois,1,16,18,27,4,5,2,3,17,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,25.0,35.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,4.0,Goalkeeper,58500000.0
54,David Luiz Moreira Marinho,1,22,13,7,1,7,2,1,7,0,0,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,4,1,1,30.0,10.0,1.0,0.0,0.07,0.01,4.0,4.0,1.0,20.0,94.0,Defender - Centre-Back,22500000.0
59,Willian Borges da Silva,1,17,31,18,3,7,2,2,13,2,0,2,0,4,5,8,2,2,0,0,0,1,0,0,0,1,2,6,4,28.0,36.0,6.0,7.0,0.25,0.28,108.0,1.0,0.0,34.0,319.0,attack - Left Winger,34200000.0
60,Jack Cork,1,63,20,60,8,30,8,3,30,2,4,6,8,2,6,3,5,0,4,0,0,3,1,0,1,0,8,3,0,28.0,38.0,2.0,1.0,0.05,0.02,57.0,7.0,0.0,56.0,762.0,midfield - Defensive Midfield,13500000.0
61,Stephen Ward,1,25,32,39,9,17,4,2,10,1,0,1,0,0,2,3,1,0,0,0,1,0,0,0,0,0,2,3,0,31.0,28.0,1.0,1.0,0.01,0.07,26.0,1.0,0.0,43.0,300.0,Defender - Left-Back,2700000.0
62,Steven Defour,1,48,17,31,4,21,10,3,18,0,0,2,2,0,1,1,3,1,0,0,0,0,0,0,0,0,1,4,1,29.0,24.0,1.0,1.0,0.03,0.05,33.0,6.0,0.0,44.0,545.0,midfield - Defensive Midfield,6300000.0
64,Matthew Lowton,1,21,35,22,7,12,14,1,21,2,0,3,1,0,0,4,3,1,0,0,0,1,0,0,0,0,1,2,0,28.0,26.0,0.0,3.0,0.0,0.06,28.0,1.0,0.0,56.0,293.0,Defender - Right-Back,4500000.0
65,Robbie Brady,1,12,18,6,5,4,4,1,6,3,0,0,0,0,2,0,2,0,1,0,0,1,0,0,0,0,1,0,2,25.0,15.0,1.0,2.0,0.08,0.17,57.0,3.0,0.0,35.0,265.0,midfield - Left Midfield,9000000.0
66,James  Tarkowski,1,39,19,30,3,21,2,1,12,3,0,2,1,0,1,0,1,0,1,0,0,0,0,0,0,0,3,1,0,24.0,31.0,0.0,0.0,0.03,0.02,17.0,5.0,0.0,56.0,243.0,Defender - Centre-Back,13500000.0
67,Andreas Christensen,1,57,11,24,3,29,10,1,20,2,4,4,1,0,1,0,0,0,3,0,0,2,0,0,0,0,0,1,2,21.0,27.0,0.0,0.0,0.04,0.01,14.0,0.0,0.0,22.0,167.0,Defender - Centre-Back,36000000.0
68,Michy Batshuayi Tunga,1,7,14,12,1,1,2,0,4,1,0,2,1,0,0,1,2,0,0,0,0,0,0,0,1,0,2,1,6,23.0,12.0,2.0,1.0,0.2,0.04,11.0,0.0,0.0,5.0,58.0,attack - Centre-Forward,36000000.0
69,Marcos  Alonso Mendoza,1,35,33,45,10,13,4,2,22,1,0,3,6,0,2,1,2,0,4,0,0,1,2,0,0,0,5,3,8,26.0,33.0,7.0,2.0,0.13,0.09,75.0,6.0,0.0,59.0,411.0,Defender - Left-Back,36000000.0
70,Tom Heaton,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper,3600000.0
71,Jeff Hendrick,1,24,31,30,2,8,0,3,10,1,2,3,3,0,2,7,1,0,1,0,0,1,0,0,0,0,2,1,1,25.0,34.0,2.0,2.0,0.1,0.08,46.0,1.0,0.0,18.0,476.0,midfield - Central Midfield,9000000.0
72,Sam Vokes,0,7,8,8,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,27.0,30.0,4.0,1.0,0.3,0.05,12.0,3.0,0.0,4.0,103.0,attack - Centre-Forward,5400000.0
73,Ben Mee,1,40,23,32,0,19,4,3,12,1,0,2,0,0,5,1,0,0,1,0,0,1,0,0,0,0,4,1,2,27.0,29.0,0.0,0.0,0.05,0.01,16.0,5.0,0.0,39.0,210.0,Defender - Centre-Back,9000000.0
75,Scott Arfield,1,11,16,15,4,6,2,1,10,1,0,1,1,0,0,1,2,0,0,0,0,2,0,0,0,0,2,5,3,28.0,18.0,2.0,1.0,0.14,0.03,21.0,3.0,0.0,36.0,392.0,midfield - Central Midfield,2700000.0
77,Tom Ince,1,25,19,23,8,8,4,4,10,3,2,4,3,0,1,0,3,0,0,0,0,3,0,0,2,1,4,5,10,25.0,33.0,2.0,0.0,0.23,0.03,50.0,0.0,0.0,44.0,487.0,attack - Right Winger,7200000.0
78,Joel Ward,1,18,24,23,3,8,10,2,8,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,3,2,0,27.0,19.0,0.0,1.0,0.01,0.07,17.0,4.0,0.0,41.0,218.0,Defender - Right-Back,4500000.0
79,Ruben Loftus-Cheek,1,20,29,16,4,5,2,4,7,3,4,6,0,2,3,3,2,1,0,4,0,3,0,0,0,0,3,3,1,21.0,24.0,2.0,3.0,0.17,0.13,64.0,1.0,0.0,30.0,361.0,midfield - Central Midfield,16200000.0
81,Scott Dann,1,31,13,14,5,12,10,3,7,1,2,1,2,0,1,0,1,0,2,0,0,0,0,0,0,0,3,1,1,30.0,17.0,1.0,0.0,0.14,0.01,10.0,4.0,0.0,14.0,102.0,Defender - Centre-Back,4500000.0
83,Patrick  van Aanholt,1,31,46,34,8,18,0,2,11,0,2,2,1,0,2,1,3,0,1,0,0,1,0,0,0,0,1,1,2,24.0,11.0,0.0,0.0,0.04,0.09,9.0,1.0,1.0,9.0,75.0,Defender - Centre-Back,1620000.0
84,Timothy Fosu-Mensah,1,25,19,13,6,9,0,3,5,0,4,4,1,0,0,5,1,0,2,0,0,0,0,0,0,0,2,0,3,19.0,21.0,0.0,0.0,0.02,0.04,14.0,2.0,0.0,46.0,177.0,Defender - Right-Back,6300000.0
85,Jason Puncheon,1,2,7,5,4,3,2,1,3,0,0,4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,23.0,27.0,1.0,2.0,0.14,0.13,51.0,2.0,0.0,35.0,415.0,attack - Right Winger,1080000.0
86,Wayne  Hennessey,0,6,14,4,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,30.0,27.0,0.0,0.0,0.0,0.02,2.0,1.0,0.0,0.0,4.0,Goalkeeper,3600000.0
87,Christopher Schindler,1,46,18,33,7,20,14,7,11,2,4,4,1,0,2,1,0,0,0,0,0,1,0,0,0,0,2,0,1,27.0,37.0,0.0,1.0,0.02,0.05,15.0,7.0,2.0,101.0,470.0,Defender - Centre-Back,5400000.0
91,Philip Billing,1,8,5,13,4,3,6,0,7,0,2,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,21.0,16.0,0.0,0.0,0.02,0.04,6.0,3.0,0.0,30.0,233.0,midfield - Central Midfield,2250000.0
93,Aaron Mooy,1,77,67,50,15,15,10,6,19,6,8,8,5,2,2,5,0,1,2,0,1,1,1,2,0,0,6,5,2,26.0,36.0,4.0,3.0,0.08,0.09,73.0,4.0,0.0,106.0,655.0,midfield - Central Midfield,9000000.0
95,Wilfried Zaha,1,11,44,13,5,7,2,0,8,3,4,6,0,4,1,11,2,1,0,0,0,1,0,0,1,0,3,12,6,24.0,29.0,9.0,3.0,0.37,0.18,121.0,5.0,0.0,34.0,467.0,attack - Left Winger,27000000.0
96,Christian Benteke Liolo,1,14,13,19,3,9,0,4,7,1,2,0,0,0,1,2,2,0,0,0,0,1,0,0,0,0,2,5,8,26.0,31.0,3.0,5.0,0.4,0.11,59.0,6.0,0.0,10.0,238.0,attack - Centre-Forward,19800000.0
97,Elias Kachunga,1,5,15,11,6,4,0,2,4,1,2,4,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,3,2,25.0,19.0,1.0,1.0,0.13,0.06,23.0,1.0,0.0,32.0,260.0,attack - Right Winger,3150000.0
98,Andros Townsend,1,19,49,39,6,13,8,2,13,1,0,7,3,2,2,6,1,2,0,0,0,2,0,0,0,0,4,10,6,26.0,36.0,2.0,7.0,0.1,0.2,118.0,3.0,0.0,60.0,606.0,attack - Right Winger,13500000.0
99,Daniel Williams,1,9,7,16,2,10,6,1,5,0,2,2,1,0,1,1,2,0,0,0,0,0,0,0,0,0,3,0,2,24.0,16.0,1.0,1.0,0.09,0.12,28.0,0.0,0.0,54.0,353.0,Defender - Centre-Back,3600000.0
100,James Tomkins,1,36,9,26,2,17,4,5,8,1,2,1,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,3,28.0,28.0,3.0,0.0,0.07,0.01,7.0,8.0,0.0,49.0,223.0,Defender - Centre-Back,7200000.0
101,Collin Quaner,1,14,14,18,7,6,2,0,6,1,0,3,2,0,1,0,2,0,1,0,0,2,1,0,0,2,2,4,2,26.0,26.0,0.0,4.0,0.13,0.17,29.0,4.0,0.0,23.0,239.0,attack - Centre-Forward,1350000.0
102,Dominic Calvert-Lewin,1,11,19,12,1,5,2,0,2,1,0,2,0,4,1,2,3,0,1,0,0,1,0,0,0,0,2,3,0,20.0,32.0,4.0,6.0,0.25,0.1,45.0,4.0,0.0,17.0,404.0,attack - Centre-Forward,13500000.0
103,Idrissa Gana Gueye,1,46,21,55,9,19,18,6,23,6,0,3,5,0,2,1,4,1,3,0,3,1,0,0,0,0,4,3,4,27.0,33.0,2.0,1.0,0.05,0.03,37.0,7.0,2.0,134.0,964.0,midfield - Central Midfield,18000000.0
104,Wayne Rooney,1,31,42,43,8,7,2,1,13,3,0,7,1,2,2,1,2,0,1,0,0,1,0,0,0,0,5,7,3,31.0,31.0,10.0,2.0,0.32,0.08,60.0,5.0,0.0,38.0,384.0,attack - Centre-Forward,9000000.0
105,Darren  Fletcher,1,29,30,40,4,20,4,2,25,3,0,3,1,0,1,0,2,0,1,0,0,0,0,0,0,1,6,4,0,33.0,27.0,1.0,1.0,0.01,0.05,38.0,0.0,0.0,46.0,528.0,midfield - Central Midfield,1800000.0
106,Erik Pieters,1,31,32,32,6,18,6,0,13,1,0,3,0,0,5,1,3,0,2,4,0,1,0,0,0,0,1,5,0,28.0,31.0,0.0,1.0,0.0,0.05,31.0,5.0,0.0,85.0,547.0,Defender - Left-Back,5400000.0
108,Geoff Cameron,1,19,17,16,2,5,0,1,7,2,0,1,1,0,2,0,0,0,0,0,0,1,1,0,0,0,2,1,1,32.0,20.0,0.0,0.0,0.01,0.01,13.0,2.0,0.0,43.0,268.0,midfield - Defensive Midfield,2250000.0
109,Kurt Happy Zouma,1,48,18,30,9,10,10,4,12,1,6,0,1,0,3,1,1,0,0,0,0,1,1,0,0,1,1,1,0,22.0,34.0,1.0,0.0,0.03,0.01,17.0,1.0,0.0,61.0,274.0,Defender - Centre-Back,13500000.0
110,Xherdan Shaqiri,1,31,50,45,13,12,6,2,19,3,4,6,3,0,1,5,1,1,1,4,0,1,0,0,0,1,7,15,7,25.0,36.0,8.0,7.0,0.17,0.21,122.0,5.0,0.0,32.0,399.0,attack - Right Winger,16200000.0
111,Michael Keane,1,40,28,24,1,18,6,8,10,1,0,2,0,0,1,1,0,0,0,0,0,2,0,0,0,0,2,0,1,24.0,30.0,0.0,1.0,0.04,0.01,11.0,3.0,0.0,39.0,224.0,Defender - Centre-Back,18000000.0
112,Jordan Pickford,1,14,34,14,1,7,0,3,8,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,23.0,38.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,9.0,Goalkeeper,31500000.0
113,Ashley Williams,1,25,13,23,1,11,2,4,6,1,0,2,2,0,2,0,1,0,0,0,1,1,0,0,0,0,0,1,0,24.0,16.0,1.0,1.0,0.09,0.12,28.0,0.0,0.0,54.0,353.0,Defender - Centre-Back,3600000.0
114,Phil Jagielka,1,36,25,30,5,11,6,5,8,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,34.0,25.0,0.0,0.0,0.02,0.0,9.0,2.0,0.0,38.0,228.0,Defender - Centre-Back,1350000.0
115,Leighton Baines,1,25,26,16,4,6,2,1,11,1,0,3,2,2,1,2,2,1,1,0,0,3,0,0,0,0,2,1,1,32.0,22.0,2.0,3.0,0.09,0.09,42.0,1.0,0.0,28.0,223.0,Defender - Left-Back,7200000.0
116,Morgan Schneiderlin,1,37,15,27,7,18,2,7,24,3,2,5,4,0,2,3,1,0,5,0,0,0,0,0,0,0,0,1,1,27.0,30.0,0.0,0.0,0.01,0.01,17.0,5.0,2.0,69.0,488.0,midfield - Defensive Midfield,18000000.0
117,Davy Klaassen,0,4,1,3,2,3,0,2,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0,33.0,7.0,5.0,0.21,0.1,82.0,7.0,0.0,67.0,590.0,midfield - Attacking Midfield,13500000.0
118,Ryan Shawcross,1,25,12,17,0,14,2,2,7,0,0,0,0,0,3,0,3,0,1,0,0,0,0,0,0,0,1,0,2,29.0,27.0,1.0,1.0,0.12,0.0,10.0,2.0,0.0,46.0,270.0,Defender - Centre-Back,9000000.0
119,Joe Allen,1,70,30,50,8,32,12,4,29,0,0,0,1,0,4,6,1,0,3,2,0,3,0,0,1,0,10,4,3,27.0,36.0,2.0,6.0,0.06,0.08,64.0,8.0,0.0,106.0,904.0,midfield - Central Midfield,16200000.0
120,Jack Butland,0,9,30,18,1,4,0,3,7,2,0,1,2,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,24.0,35.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,8.0,Goalkeeper,19800000.0
121,Sandro  Ramirez Castillo,1,9,11,4,6,7,0,0,3,0,0,2,0,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,5,28.0,14.0,1.0,0.0,0.05,0.01,15.0,4.0,0.0,30.0,173.0,midfield - Defensive Midfield,2250000.0
122,Mame Biram Diouf,1,8,25,24,1,7,2,0,8,2,2,2,2,0,0,3,3,0,1,0,0,3,0,0,0,0,0,4,9,29.0,35.0,6.0,2.0,0.25,0.06,43.0,6.0,0.0,60.0,470.0,attack - Centre-Forward,6300000.0
123,Saido Berahino,0,4,2,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,23.0,15.0,0.0,1.0,0.31,0.1,8.0,0.0,0.0,3.0,92.0,attack - Centre-Forward,7200000.0
125,Tom Davies,1,20,22,18,9,14,2,2,16,1,2,2,1,0,2,1,1,0,1,0,0,1,0,0,1,0,2,0,5,19.0,33.0,2.0,1.0,0.06,0.04,26.0,7.0,0.0,31.0,477.0,midfield - Central Midfield,13500000.0
126,Jean-Eric Maxim Choupo-Moting,1,21,20,26,8,9,0,1,11,1,4,3,2,0,0,3,2,0,0,0,1,0,0,0,0,0,4,5,9,28.0,30.0,5.0,5.0,0.23,0.1,55.0,3.0,0.0,57.0,414.0,attack - Centre-Forward,7200000.0
127,Kevin Mirallas,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0,5.0,0.0,0.0,0.14,0.04,4.0,1.0,0.0,3.0,35.0,attack - Right Winger,6300000.0
128,Peter Crouch,1,9,20,11,3,3,2,0,5,1,0,1,1,0,0,2,1,0,1,0,0,0,0,0,0,0,4,1,2,36.0,31.0,5.0,2.0,0.23,0.16,33.0,4.0,0.0,5.0,179.0,attack - Centre-Forward,900000.0
129,Edimilson Fernandes,1,13,10,9,3,3,0,1,6,0,0,0,1,0,0,1,0,0,0,2,0,1,0,0,0,0,0,2,0,23.0,24.0,1.0,0.0,0.05,0.04,32.0,7.0,1.0,39.0,264.0,midfield - Central Midfield,4500000.0
130,Arthur Masuaku,1,19,21,27,6,6,0,1,14,1,0,9,1,0,1,2,3,1,0,0,0,1,0,0,0,0,6,4,1,23.0,27.0,0.0,3.0,0.01,0.14,37.0,5.0,0.0,59.0,391.0,midfield - Defensive Midfield,27000000.0
131,Pedro  Mba Obiang Avomo,1,25,24,20,2,11,6,4,19,3,0,0,1,4,3,0,1,0,2,0,1,0,0,0,0,1,3,0,2,30.0,31.0,4.0,2.0,0.25,0.09,62.0,1.0,0.0,20.0,240.0,midfield - Central Midfield,7200000.0
132,Mark Noble,1,40,29,56,9,18,6,6,28,3,2,10,0,0,2,2,2,2,1,2,0,2,0,0,0,1,6,3,1,30.0,29.0,4.0,0.0,0.08,0.07,45.0,6.0,0.0,63.0,594.0,midfield - Central Midfield,6300000.0
133,Angelo Obinze Ogbonna,1,39,13,13,2,18,6,6,14,2,0,1,3,0,1,2,0,0,1,0,1,1,0,0,0,0,4,2,2,29.0,32.0,1.0,0.0,0.02,0.02,19.0,3.0,0.0,36.0,261.0,Defender - Centre-Back,8100000.0
134,Luis Antonio Valencia Mosquera,1,34,33,39,9,21,10,6,15,6,0,6,1,2,4,1,2,0,0,0,0,1,1,2,1,0,1,5,2,31.0,31.0,3.0,1.0,0.02,0.05,47.0,7.0,0.0,61.0,393.0,Defender - Right-Back,7200000.0
